dossier ;guideline ;PDF link ;method of analysis/ method of detection;observations;moribound animal;corrosivity;grading of lesion;cell viability;systemic effects; irritation response scores ( IVIS, ICE class, irritation index);opacity and permeability ;membrane barrier penetration;skin impedance TER;dye binding assay data;results;conclusion;homogeneity;pH;physical form ;treatment(grinding, wetting);concentration (%);composition;purity (%);direct interaction with MTT;coloring of tissue;solubility in vehicle;chemical batch nr;additional info;type of study (in vivo, in vitro, in silico);species/strain;source;age at start of experiment;age measuring unit (day, week, month, year);sex;weight;weight measuring unit (gram, kilogram);feed;n animals / group;test system;test system preparation ( stored prior to use, wetting, treatment);replicates /condition;cell design;receptor fluid;viability;barrier function;morphology;quality control;calibration;proficiency;TER value;measuring system ( uplc/hplc-spectrophotometer,….);age at sacrifice;in silico;dose levels;unity ( or extra information);dose volume (mL);administration scheme;route of exposure;use of anaesthesic/analgesic;patch system ( open, semi-occluded, occluded);skin condition;exposed area (cm2);exposure time/ time point (minute,hour, day);observation period (day);scoreing times/sampling franctions;temperature during incubation(°C);humidity;temperature during post-incubation(°C);post treatment incubation time;rinsing ;vehicle;procedure;additional info;year;GLP;SCCS comment to test;Ref. in dossier;preliminary study ;control groups;additional information;own comments
1,3,5-triazine, 2,4,6-tris[1,1’-biphenyl]-4-yl-;OECD 404;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_070.pdf;;after a 3-minute exposure (one animal), a very slight erythema was observed on days 1 and 2. after a 4-hour exposure (three animals), except for a very slight erythema noted in 1/3 animals one hour after the removal of the dressing, no cutaneous reactions were recorded during the study.;;;mean scores over 24, 48 and 72 hours for each animal were 0.0, 0.0 and 0.0 for erythema and 0.0, 0.0 and 0.0 for oedema.;;;;;;;;;under the experimental conditions, the test item fat 65’080/a is non-irritant when applied topically to rabbits.;;;;;;;98;;;;eth50/129b;test substance: fat 65’080/a;in vivo;rabbit/ new zealand white;;2 to 4 months ols;;m;;;;3;;;;;;;;;;;;;;;;0.5 ;g;;single;dermal applied on the flank ;;semi-occlusion;intact;;4;3;cutaneous reactions were observed approximately 1 hour, 24, 48 and 72 hours after removal of the dressing.;;;;;;;;;;yes;;4 (subm 1);in the first instance, the test item was applied for periods of 3 minutes and 4 hours to a single male new zealand white rabbit. since the test item was not severely irritant on this first animal, it was then applied for 4 hours to two other animals. ;;;
1,3,5-triazine, 2,4,6-tris[1,1’-biphenyl]-4-yl-;OECD 405;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_070.pdf;;indication of pain did not occur in any animal upon instillation of the test article or shortly thereafter. residual test article was not noted in the treated eyes of any of the animals at the 1-hour observation interval. a very slight or slight chemosis (grade 1 or 2), a very slight or slight redness of the conjunctiva (grade 1 or 2) and/or a clear discharge, were observed in all animals from day 1 up to day 2 or 3. a slight iritis was also noted in 1/3 animals on day 1.;;;mean scores calculated for each animal over 24, 48 and 72 hours were 0.3, 0.0 and 0.3 for chemosis, 1.0, 0.3 and 0.0 for redness of the conjunctiva, 0.0, 0.0 and 0.0 for iris lesions and 0.0, 0.0 and 0.0 for corneal opacity.;;;;;;;;;the substance was slightly irritant to the eye under the conditions of the test;;;solid powder;;;;> 98;;;;eth50/129b;test substance: fat 65’080;in vivo;rabbit/ new zealand white albino;;;;m;;;;3;;;;;;;;;;;;;;;;0.1;g;;single;ocular;;;;;24;3;;;;;;yes, after 24h;;test article inserted  in the conjunctival sac of the left eye, lower and upper eyelids were held together for about 1 second.;;;yes;;5 (subm 1);;the right eye served as the untreated control. ;;
1-hydroxyethyl-4,5-diamino pyrazole sulfate;OECD 404;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_079.pdf;;erythema was observed in all three animals 1 and 24 h after removing the patches, in one animal also at the 48 h observation time point. oedema was noted in all three animals 24 h after removal of the patches.;no;;;;;;;;;;;irritant to rabbit skin under the conditions of the experiment;;;;test substance soaked with 0.5 ml deionised water.;;;99.8;;;;gst 4-20079;test substance: da010894;in vivo;rabbit/new zealand albino;;;;f;;;;3;;;;;;;;;;;;;;;;0.5;g;;single;dermal;;cellulose patch, semi-occlusive dressing, access to the application area was prevented by a plastic collar.;shaved skin;6;4;;1, 24, 48, and 72 h;;;;;area was wiped with a cellulose tissue after application;deionised water;;;;yes;;18;;;;
1-hydroxyethyl-4,5-diamino pyrazole sulfate;OECD 405;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_079.pdf;;conjunctival redness up to grade 3 and oedema up to grade 3 were noted in all animals 1, 24, 48 and 72 h after instillation, in one animal persisting until day 21, the last day of observation. cornea opacity up to grade 2 was observed in all animals 1, 24, 48 and 72 h after instillation, in one animal persisting until day 21. iris reactions were noted in all three animals 1, 24, 48 and 72 h after instillation, in one animal persisting until day 8.;no;;conjunctival redness up to grade 3 and oedema up to grade 3, cornea opacity up to grade 2;;;;;;;;;"very irritant to rabbit eyes; the undiluted test compound may cause serious damage to eyes";;;solid;;;;99.8;;;;gst 4-20079;;in vivo;rabbit/new zealand albino;;;;f;;;;3;;;;;;;;;;;;;;;;95-100;mg;0.1 ;single;occular;;;;;;21;"ocular reactions: 1, 24, 48, and 72 h; further examinations: 6, 8, 10, 13, 15, 17 and 21 days ";;;;;;;undiluted test article was placed into the conjunctival sac of the right eye of each animal. lids were then held together for about one second.;;;yes;;19;;the untreated left eye served as control.;;
1-hydroxyethyl-4,5-diamino pyrazole sulfate;directive 92/69/EEC, method B.5.;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_079.pdf;;conjunctival redness up to grade 2 was noted in all animals 1 h after instillation, in one animal seen until the reading time point 48 h after instillation. conjunctival oedema was noted in two of the three animals, one h after instillation only. no reactions of cornea or iris were observed at any time point in any of the animals.;;;conjunctival redness up to grade 2;;;;;;;;;under the conditions of the experiment, 5% of the test substance irritant to rabbit eyes;;;liquid;;5%;aqueous solution;99.8;;;;gst 4-20079;test substance: da 010894;in vivo;rabbit/new zealand albino;;;;f;;;;3;;;;;;;;;;;;;;;;;;0.1;single;occular;;;;;;3;1, 24, 48, and 72 h;;;;;;deionised water;undiluted test article was placed into the conjunctival sac of the right eye of each animal. lids were then held together for about one second.;;;yes;;20;;the untreated left eye served as control.;;
2,4-diaminophenoxyethanol dihydrochloride and sulfate;OECD 404;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_035.pdf;;there were no cutaneous reactions apart from a slight erythema observed in 1 animal at the 48-hour observation only. ;;;;;;;;;;;;when tested undiluted, IMEXINE OAJ was non-irritant to rabbit skin.;;;solid;;;;99.4;;;;op.118 ;test substance: imexine oaj ;in vivo;rabbit/new zealand white;;;;f;;;;3;;;;;;;;;;;;;;;;0.5 ;g;;single;dermal;;non-occlusive ;the day before application, the back area of test animals was clipped free of hair. neat test substance was applied to the right flank which was previously treated with 0.5 ml paraffin oil. ;6;4;;1, 24, 48 and 72 hours after dressing removal. ;;;;;;;;;;yes;;2;;the untreated left flank served as control.;;
2,4-diaminophenoxyethanol dihydrochloride and sulfate;OECD 405;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_035.pdf;;marked ocular reactions were observed. they included moderate to marked chemosis and slight to moderate redness of conjunctivae, slight to moderate corneal opacification and slight iridial lesions. at the end of the study (day 15), similar though less marked ocular reactions were observed. ;;;;;;;;;;;;imexine oaj was considered to be an irritant to rabbit eyes when tested undiluted. ;;;solid;;;;99.4;;;;op.118 ;test substance: imexine oaj ;in vivo;rabbit/ new zealand white ;;;;f;;;;3;;;;;;;;;;;;;;;;100;mg;;;;;;;;;15;1, 24, 48 and 72 hours after instillation, as well as on day 8 and day 15;;;;;no;;neat test substance was instilled in the conjunctival sac of the left eye of the animals.;;;yes;;3;;the non-treated right eye served as control.;;
2,4-diaminophenoxyethanol dihydrochloride and sulfate;OECD 405;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_035.pdf;;ocular reactions were limited to conjunctival reactions. they consisted of slight chemosis and slight redness observed in 2 animals which persisted to day 2 in 1 animal. there were no corneal or iridial reactions. ;;;;;;;;;;;;2,4-diaminophenoxyethanol dihydrochloride was slightly irritant to rabbit eyes when tested at 4% in water.;;;liquid;;4;aqueous solution of test substance;98.7;;;;0120022;test substance: 2,4-diaminophenoxyethanol dihydrochloride;in vivo;rabbit/ new zealand white ;;;;m;;;;3;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;1, 24, 48 and 72 hours after instillation. ;;;;;no;purified water ;diluted test substance was instilled into the left conjunctival sac of test animals.;;;yes;;4;;the non-treated right eye served as control.;;
2,5,6-triamino-4-pyrimidinol sulfate;OECD 404;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_185.pdf;;;no;;a skin irritation score of 0.22 was found,;;;;;;;;;the test article was classified as non-irritant to rabbit skin.;;adjusted to 9.5 using 25% ammonium water solution;yellow solid;sodium sulphite was present to prevent oxidation;3.6;;;;;;;test subatance: trap;in vivo;rabbit/new zealand albino;;;;f & m;;;;3 (1m, 2f);;;;;;;;;;;;;;;;;;0.5;;dermal, dorsal;;covered with a surgical gauze pad and semi-occlusively dressed.;clipped  intact skin;6;4;;1,24, 48 and 72h;;;;;washing with lukewarm water;distilled water;;;;yes;;4 (submission 1);;;;
2,5,6-triamino-4-pyrimidinol sulfate;OECD 405 ;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_185.pdf;;no staining or corrosion was observed.;no;;substance showed a primary irritation score of 1.08;;;;;;;;;not irritating to the eye;;;solid, light yellow;;;;;;;;;test substance: 4-OH-2,5,6-triaminopyrimidine (sulphate);in vivo;rabbit/new zealand albino;;;;;;;;3 (1m, 2f);;;;;;;;;;;;;;;;0.1 ;g;0.1;;occular, left eye;;;;;;;1, 24, 48, 72h and 7 days;;;;;no;;;;;yes;;3 (submission 1);;the right eye served as control and was untreated;;
